trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,chosen_high_reward_side,high_reward_proportion,reward_proportion
117,0.2,0.75,-1.0,0.3333333333333333,0.6666666666666666,0.4,0.7,-0.29999999999999993,False,0.6666666666666666,0.7142857142857143
118,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.3,0.7,-0.39999999999999997,True,0.7142857142857143,0.7142857142857143
119,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.3,0.8,-0.5,True,0.7619047619047619,0.7142857142857143
120,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.3,0.9,-0.6000000000000001,True,0.7619047619047619,0.7142857142857143
121,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.3,0.9,-0.6000000000000001,True,0.8095238095238095,0.6666666666666666
122,0.2,0.75,1.0,0.14285714285714285,0.8571428571428571,0.3,0.9,-0.6000000000000001,True,0.8571428571428571,0.6190476190476191
123,0.2,0.75,1.0,0.14285714285714285,0.8571428571428571,0.3,1.0,-0.7,True,0.8571428571428571,0.6666666666666666
124,0.2,0.75,-1.0,0.14285714285714285,0.8571428571428571,0.3,1.0,-0.7,False,0.8571428571428571,0.6666666666666666
125,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.3,1.0,-0.7,True,0.9047619047619048,0.7142857142857143
126,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.3,0.9,-0.6000000000000001,True,0.9047619047619048,0.7142857142857143
127,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.3,0.8,-0.5,True,0.9047619047619048,0.7142857142857143
128,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.3,0.8,-0.5,True,0.9523809523809523,0.7619047619047619
129,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.3,0.8,-0.5,True,0.9523809523809523,0.7142857142857143
130,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.3,0.7,-0.39999999999999997,True,0.9523809523809523,0.7142857142857143
131,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.3,0.6,-0.3,True,0.9523809523809523,0.7142857142857143
132,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.3,0.6,-0.3,True,0.9523809523809523,0.7142857142857143
133,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.3,0.6,-0.3,True,0.9523809523809523,0.7142857142857143
