trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,relative_values,chosen_high_reward_side,high_reward_proportion,reward_proportion
114,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.1,0.8,0.7000000000000001,0.37113197537495585,True,0.7142857142857143,0.47619047619047616
115,0.2,0.75,-1.0,0.3333333333333333,0.6666666666666666,0.1,0.7,0.6,0.19516862415783692,False,0.6666666666666666,0.47619047619047616
116,0.2,0.75,1.0,0.38095238095238093,0.6190476190476191,0.1,0.7,0.6,0.2618860999480064,True,0.6190476190476191,0.47619047619047616
117,0.2,0.75,1.0,0.42857142857142855,0.5714285714285714,0.1,0.7,0.6,0.4320776324321115,True,0.5714285714285714,0.42857142857142855
118,0.2,0.75,-1.0,0.42857142857142855,0.5714285714285714,0.1,0.7,0.6,0.5521718297628769,False,0.5714285714285714,0.42857142857142855
119,0.2,0.75,1.0,0.47619047619047616,0.5238095238095238,0.1,0.7,0.6,0.599250445167574,True,0.5238095238095238,0.38095238095238093
120,0.2,0.75,-1.0,0.47619047619047616,0.5238095238095238,0.1,0.6,0.5,0.38963532272221574,False,0.5238095238095238,0.38095238095238093
121,0.2,0.75,-1.0,0.5238095238095238,0.47619047619047616,0.1,0.6,0.5,0.42285594448845387,False,0.47619047619047616,0.38095238095238093
122,0.2,0.75,1.0,0.5238095238095238,0.47619047619047616,0.1,0.6,0.5,0.44629779172734596,True,0.47619047619047616,0.38095238095238093
123,0.2,0.75,-1.0,0.5238095238095238,0.47619047619047616,0.1,0.5,0.4,0.2983846757747855,False,0.47619047619047616,0.38095238095238093
124,0.2,0.75,-1.0,0.5238095238095238,0.47619047619047616,0.1,0.5,0.4,0.3149262145165445,False,0.47619047619047616,0.42857142857142855
125,0.2,0.75,-1.0,0.5238095238095238,0.47619047619047616,0.1,0.5,0.4,0.3265986096634232,False,0.47619047619047616,0.47619047619047616
126,0.2,0.75,-1.0,0.47619047619047616,0.5238095238095238,0.2,0.5,0.3,0.04047657106085267,False,0.5238095238095238,0.5238095238095238
127,0.2,0.75,-1.0,0.47619047619047616,0.5238095238095238,0.3,0.5,0.2,-0.16142299505197472,False,0.5238095238095238,0.5238095238095238
128,0.2,0.75,1.0,0.47619047619047616,0.5238095238095238,0.2,0.5,0.3,-0.009533130484217056,True,0.5238095238095238,0.47619047619047616
129,0.2,0.75,-1.0,0.42857142857142855,0.5714285714285714,0.2,0.5,0.3,0.18045181028446822,False,0.5714285714285714,0.5238095238095238
130,0.2,0.75,1.0,0.42857142857142855,0.5714285714285714,0.2,0.5,0.3,0.2876315923905324,True,0.5714285714285714,0.5714285714285714
131,0.2,0.75,-1.0,0.42857142857142855,0.5714285714285714,0.2,0.6,0.39999999999999997,0.4216928387611717,False,0.5714285714285714,0.5714285714285714
132,0.2,0.75,1.0,0.42857142857142855,0.5714285714285714,0.2,0.6,0.39999999999999997,0.49732333408746676,True,0.5714285714285714,0.5714285714285714
133,0.2,0.75,1.0,0.47619047619047616,0.5238095238095238,0.2,0.6,0.39999999999999997,0.591922504451877,True,0.5238095238095238,0.5714285714285714
134,0.2,0.75,1.0,0.42857142857142855,0.5714285714285714,0.2,0.6,0.39999999999999997,0.6586755988464598,True,0.5714285714285714,0.6190476190476191
135,0.2,0.75,1.0,0.38095238095238093,0.6190476190476191,0.2,0.7,0.49999999999999994,0.7057793482143137,True,0.6190476190476191,0.6666666666666666
136,0.2,0.75,1.0,0.38095238095238093,0.6190476190476191,0.2,0.8,0.6000000000000001,0.7390177055463993,True,0.6190476190476191,0.6190476190476191
137,0.2,0.75,1.0,0.38095238095238093,0.6190476190476191,0.2,0.8,0.6000000000000001,0.7624720677354395,True,0.6190476190476191,0.5714285714285714
138,0.2,0.75,1.0,0.3333333333333333,0.6666666666666666,0.2,0.8,0.6000000000000001,0.7790224375445891,True,0.6666666666666666,0.6190476190476191
139,0.2,0.75,1.0,0.3333333333333333,0.6666666666666666,0.2,0.8,0.6000000000000001,0.4963424999861463,True,0.6666666666666666,0.6190476190476191
140,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.5912303872684106,True,0.7142857142857143,0.6190476190476191
141,0.2,0.75,-1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.6581872122834268,False,0.7142857142857143,0.6190476190476191
142,0.2,0.75,-1.0,0.23809523809523808,0.7619047619047619,0.2,0.9,0.7,0.7115552235902637,False,0.7619047619047619,0.6666666666666666
143,0.2,0.75,-1.0,0.23809523809523808,0.7619047619047619,0.2,0.9,0.7,0.7492139037107473,False,0.7619047619047619,0.6190476190476191
144,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.2,0.9,0.7,0.7757874288185718,True,0.7619047619047619,0.6190476190476191
145,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.82303493895393,True,0.7142857142857143,0.5714285714285714
146,0.2,0.75,-1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.8563747398403987,False,0.7142857142857143,0.5714285714285714
147,0.2,0.75,-1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.8751261202498277,False,0.7142857142857143,0.5714285714285714
148,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.8883578712438116,True,0.7142857142857143,0.5238095238095238
149,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.9118838162082119,True,0.7142857142857143,0.5714285714285714
150,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.2,0.9,0.7,0.9284846977897401,True,0.7142857142857143,0.5714285714285714
151,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.2,0.8,0.6000000000000001,0.6458404034308796,True,0.6666666666666666,0.5714285714285714
152,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.2,0.8,0.6000000000000001,0.740753442031671,True,0.6666666666666666,0.5714285714285714
153,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.2,0.8,0.6000000000000001,0.8077280148592034,True,0.6666666666666666,0.5714285714285714
154,0.2,0.75,1.0,0.14285714285714285,0.8571428571428571,0.2,0.8,0.6000000000000001,0.5606294843140724,True,0.6666666666666666,0.5714285714285714
155,0.2,0.75,-1.0,0.14285714285714285,0.8571428571428571,0.2,0.8,0.6000000000000001,0.6806250867264183,False,0.6190476190476191,0.5714285714285714
